WeightingMethod,Seed,Vertices,Sparsity,WeightMin,WeightMax,NrOfCliques,SizeOfClique,NrOfCommRounds,TotalTime,RoundTimes1,RoundTimes2,RoundTimes3,,,,
RANDOM,100,500,0.2,1,100,0,0,2,23.05,16.24,6.74,,,,,
RANDOM,100,500,0.2,1,100,50,5,2,22.89,14.14,8.7,,,,,
RANDOM,100,500,0.2,1,100,100,5,2,19.42,13.01,6.34,,,,,
RANDOM,100,500,0.2,1,100,200,5,2,17.01,10.97,5.92,,,,,
RANDOM,100,500,0.4,1,100,0,0,2,34.23,27.66,6.47,,,,,
RANDOM,100,500,0.4,1,100,50,5,2,34.34,28.3,5.96,,,,,
RANDOM,100,500,0.4,1,100,100,5,2,34.57,28.37,6.09,,,,,
RANDOM,100,500,0.4,1,100,200,5,2,32.16,26.45,5.56,,,,,
RANDOM,100,500,0.6,1,100,0,0,2,78.68,71.93,6.63,,,,,
RANDOM,100,500,0.6,1,100,50,5,2,76.72,70.56,6.02,,,,,
RANDOM,100,500,0.6,1,100,100,5,2,89.41,81.97,7.27,,,,,
RANDOM,100,500,0.6,1,100,200,5,2,110.05,103.67,6.18,,,,,
RANDOM,100,500,0.8,1,100,0,0,3,171.79,159.87,5.94,5.83,,,,
RANDOM,100,500,0.8,1,100,50,5,3,154.32,142.45,6.03,5.65,,,,
RANDOM,100,500,0.8,1,100,100,5,3,159.69,147.93,5.89,5.72,,,,
RANDOM,100,500,0.8,1,100,200,5,2,153.09,146.99,5.9,,,,,
RANDOM,100,500,1,1,100,0,0,3,268.74,256.99,5.9,5.65,,,,
RANDOM,100,500,1,1,100,50,5,3,491.61,472.5,9.13,9.6,,,,
RANDOM,100,500,1,1,100,100,5,3,527.29,509.63,9.34,7.98,,,,
RANDOM,100,500,1,1,100,200,5,2,564.18,555.59,8.17,,,,,
ALL_THE_SAME,100,500,0.2,1,100,0,0,2,26.22,17.97,8.19,,,,,
ALL_THE_SAME,100,500,0.2,1,100,50,5,2,24.85,16.95,7.84,,,,,
ALL_THE_SAME,100,500,0.2,1,100,100,5,2,24.18,16.5,7.6,,,,,
ALL_THE_SAME,100,500,0.2,1,100,200,5,2,20.2,14.25,5.82,,,,,
ALL_THE_SAME,100,500,0.4,1,100,0,0,2,35.13,29.25,5.81,,,,,
ALL_THE_SAME,100,500,0.4,1,100,50,5,2,46.28,39.47,6.74,,,,,
ALL_THE_SAME,100,500,0.4,1,100,100,5,2,43.84,37.52,6.2,,,,,
ALL_THE_SAME,100,500,0.4,1,100,200,5,2,60.44,52.37,7.8,,,,,
ALL_THE_SAME,100,500,0.6,1,100,0,0,2,121.09,113.98,6.94,,,,,
ALL_THE_SAME,100,500,0.6,1,100,50,5,2,93.87,87.7,6.06,,,,,
ALL_THE_SAME,100,500,0.6,1,100,100,5,2,160.68,151.22,9.33,,,,,
ALL_THE_SAME,100,500,0.6,1,100,200,5,2,142.81,135.07,7.44,,,,,
ALL_THE_SAME,100,500,0.8,1,100,0,0,3,295.07,279.15,7.22,8.51,,,,
ALL_THE_SAME,100,500,0.8,1,100,50,5,3,352.12,336.79,7.86,7.26,,,,
ALL_THE_SAME,100,500,0.8,1,100,100,5,3,320.62,304.59,8.04,7.74,,,,
ALL_THE_SAME,100,500,0.8,1,100,200,5,2,279.15,270.94,7.94,,,,,
ALL_THE_SAME,100,500,1,1,100,0,0,3,488.93,474.3,7.42,6.96,,,,
ALL_THE_SAME,100,500,1,1,100,50,5,3,467.3,452.97,7.29,6.81,,,,
ALL_THE_SAME,100,500,1,1,100,100,5,3,466.39,446.09,8.66,11.4,,,,
ALL_THE_SAME,100,500,1,1,100,200,5,2,539.9,530.14,9.36,,,,,
UNIQUE,100,500,0.2,1,100,0,0,2,35.51,25.42,10.02,,,,,
UNIQUE,100,500,0.2,1,100,50,5,2,46.26,23.18,23.02,,,,,
UNIQUE,100,500,0.2,1,100,100,5,2,38.55,26.59,11.89,,,,,
UNIQUE,100,500,0.2,1,100,200,5,2,17.58,11.1,6.3,,,,,
UNIQUE,100,500,0.4,1,100,0,0,2,32.95,27.02,5.83,,,,,
UNIQUE,100,500,0.4,1,100,50,5,2,33.1,27.27,5.74,,,,,
UNIQUE,100,500,0.4,1,100,100,5,2,33.19,27.09,5.99,,,,,
UNIQUE,100,500,0.4,1,100,200,5,2,33.61,27.45,5.99,,,,,
UNIQUE,100,500,0.6,1,100,0,0,2,74.22,68.04,6.07,,,,,
UNIQUE,100,500,0.6,1,100,50,5,2,78.7,71.86,6.72,,,,,
UNIQUE,100,500,0.6,1,100,100,5,2,144.85,137.63,7.09,,,,,
UNIQUE,100,500,0.6,1,100,200,5,2,169.22,161.29,7.63,,,,,
UNIQUE,100,500,0.8,1,100,0,0,3,337.32,316.58,8.55,11.97,,,,
UNIQUE,100,500,0.8,1,100,50,5,3,295.38,279.5,8.1,7.6,,,,
UNIQUE,100,500,0.8,1,100,100,5,3,269.61,254.82,7.43,7.16,,,,
UNIQUE,100,500,0.8,1,100,200,5,2,268.31,260.38,7.64,,,,,
UNIQUE,100,500,1,1,100,0,0,3,276.97,265.2,5.92,5.68,,,,
UNIQUE,100,500,1,1,100,50,5,3,282.99,271.23,5.95,5.63,,,,
UNIQUE,100,500,1,1,100,100,5,3,278.93,267.06,5.98,5.71,,,,
UNIQUE,100,500,1,1,100,200,5,2,275.9,269.8,5.87,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.2,1,100,0,0,2,16.41,10.67,5.7,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.2,1,100,50,5,2,16.49,10.81,5.64,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.2,1,100,100,5,2,16.56,10.82,5.66,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.2,1,100,200,5,2,17.3,11.34,5.79,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.4,1,100,0,0,2,33.51,27.15,6.26,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.4,1,100,50,5,2,33.52,27.55,5.89,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.4,1,100,100,5,2,33.24,27.31,5.84,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.4,1,100,200,5,2,34.4,28.51,5.68,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.6,1,100,0,0,2,73.77,67.91,5.75,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.6,1,100,50,5,2,74.49,68.53,5.85,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.6,1,100,100,5,2,73.18,67.07,5.96,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.6,1,100,200,5,2,73.99,67.98,5.78,,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.8,1,100,0,0,3,154.5,142.81,5.85,5.68,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.8,1,100,50,5,3,159.78,148.08,5.72,5.83,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.8,1,100,100,5,3,157.31,145.52,6,5.63,,,,
INCIDENT_EDGES_THE_SAME,100,500,0.8,1,100,200,5,2,154.59,148.37,5.96,,,,,
INCIDENT_EDGES_THE_SAME,100,500,1,1,100,0,0,3,277.51,265.85,5.87,5.61,,,,
INCIDENT_EDGES_THE_SAME,100,500,1,1,100,50,5,3,283.21,271.32,6.06,5.64,,,,
INCIDENT_EDGES_THE_SAME,100,500,1,1,100,100,5,3,281.36,269.36,6.09,5.7,,,,
INCIDENT_EDGES_THE_SAME,100,500,1,1,100,200,5,2,277.53,271.33,5.9,,,,,
RANDOM,101,500,0.2,1,100,0,0,2,16.33,10.58,5.7,,,,,
RANDOM,101,500,0.2,1,100,50,5,2,16.41,10.7,5.67,,,,,
RANDOM,101,500,0.2,1,100,100,5,2,16.62,10.79,5.77,,,,,
RANDOM,101,500,0.2,1,100,200,5,2,16.78,10.77,5.8,,,,,
RANDOM,101,500,0.4,1,100,0,0,2,32.61,26.71,5.81,,,,,
RANDOM,101,500,0.4,1,100,50,5,2,33.3,27.44,5.79,,,,,
RANDOM,101,500,0.4,1,100,100,5,2,33.37,27.45,5.84,,,,,
RANDOM,101,500,0.4,1,100,200,5,2,34.15,28.08,5.9,,,,,
RANDOM,101,500,0.6,1,100,0,0,2,73.42,67.38,5.91,,,,,
RANDOM,101,500,0.6,1,100,50,5,2,74.53,68.49,5.93,,,,,
RANDOM,101,500,0.6,1,100,100,5,2,72.9,66.73,6.02,,,,,
RANDOM,101,500,0.6,1,100,200,5,2,75.4,69.37,5.84,,,,,
RANDOM,101,500,0.8,1,100,0,0,3,159.57,147.77,5.88,5.76,,,,
RANDOM,101,500,0.8,1,100,50,5,3,162,150.14,5.96,5.74,,,,
RANDOM,101,500,0.8,1,100,100,5,3,159.94,148.21,5.87,5.71,,,,
RANDOM,101,500,0.8,1,100,200,5,2,157.58,151.45,5.91,,,,,
RANDOM,101,500,1,1,100,0,0,3,282.12,270.28,5.95,5.71,,,,
RANDOM,101,500,1,1,100,50,5,3,285.62,273.63,5.98,5.82,,,,
RANDOM,101,500,1,1,100,100,5,3,283,270.99,6.04,5.79,,,,
RANDOM,101,500,1,1,100,200,5,2,281.25,275.09,5.95,,,,,
ALL_THE_SAME,101,500,0.2,1,100,0,0,2,17.26,11.45,5.77,,,,,
ALL_THE_SAME,101,500,0.2,1,100,50,5,2,17.28,11.42,5.81,,,,,
ALL_THE_SAME,101,500,0.2,1,100,100,5,2,17.09,11.28,5.76,,,,,
ALL_THE_SAME,101,500,0.2,1,100,200,5,2,17.16,11.29,5.75,,,,,
ALL_THE_SAME,101,500,0.4,1,100,0,0,2,35.49,29.61,5.8,,,,,
ALL_THE_SAME,101,500,0.4,1,100,50,5,2,35.85,30.03,5.74,,,,,
ALL_THE_SAME,101,500,0.4,1,100,100,5,2,34.96,29.14,5.74,,,,,
ALL_THE_SAME,101,500,0.4,1,100,200,5,2,35.72,29.7,5.86,,,,,
ALL_THE_SAME,101,500,0.6,1,100,0,0,2,79.01,72.88,6.01,,,,,
ALL_THE_SAME,101,500,0.6,1,100,50,5,2,81.32,75.4,5.81,,,,,
ALL_THE_SAME,101,500,0.6,1,100,100,5,2,79.31,73.36,5.84,,,,,
ALL_THE_SAME,101,500,0.6,1,100,200,5,2,80.82,74.69,5.94,,,,,
ALL_THE_SAME,101,500,0.8,1,100,0,0,3,170.57,158.79,5.96,5.66,,,,
ALL_THE_SAME,101,500,0.8,1,100,50,5,3,176.41,164.69,5.91,5.66,,,,
ALL_THE_SAME,101,500,0.8,1,100,100,5,3,174.24,162.38,5.89,5.82,,,,
ALL_THE_SAME,101,500,0.8,1,100,200,5,2,165.92,159.85,5.85,,,,,
ALL_THE_SAME,101,500,1,1,100,0,0,3,304.24,292.45,5.98,5.58,,,,
ALL_THE_SAME,101,500,1,1,100,50,5,3,305.91,293.93,6.1,5.66,,,,
ALL_THE_SAME,101,500,1,1,100,100,5,3,306.86,294.9,6,5.77,,,,
ALL_THE_SAME,101,500,1,1,100,200,5,2,297.74,291.41,6.1,,,,,
UNIQUE,101,500,0.2,1,100,0,0,2,16.6,10.73,5.83,,,,,
UNIQUE,101,500,0.2,1,100,50,5,2,16.64,10.78,5.82,,,,,
UNIQUE,101,500,0.2,1,100,100,5,2,16.6,10.72,5.82,,,,,
UNIQUE,101,500,0.2,1,100,200,5,2,16.89,11.01,5.74,,,,,
UNIQUE,101,500,0.4,1,100,0,0,2,33.19,27.3,5.81,,,,,
UNIQUE,101,500,0.4,1,100,50,5,2,33.58,27.62,5.88,,,,,
UNIQUE,101,500,0.4,1,100,100,5,2,33.76,27.71,5.96,,,,,
UNIQUE,101,500,0.4,1,100,200,5,2,34.53,28.5,5.84,,,,,
UNIQUE,101,500,0.6,1,100,0,0,2,73.96,67.87,5.98,,,,,
UNIQUE,101,500,0.6,1,100,50,5,2,74.48,68.46,5.92,,,,,
UNIQUE,101,500,0.6,1,100,100,5,2,74.78,68.76,5.88,,,,,
UNIQUE,101,500,0.6,1,100,200,5,2,75.56,69.38,5.99,,,,,
UNIQUE,101,500,0.8,1,100,0,0,3,158.92,147.11,5.97,5.7,,,,
UNIQUE,101,500,0.8,1,100,50,5,3,163.76,151.86,5.92,5.83,,,,
UNIQUE,101,500,0.8,1,100,100,5,3,163.54,151.69,5.87,5.81,,,,
UNIQUE,101,500,0.8,1,100,200,5,2,158.58,152.37,6,,,,,
UNIQUE,101,500,1,1,100,0,0,3,282.33,270.46,6.05,5.63,,,,
UNIQUE,101,500,1,1,100,50,5,3,285.56,273.56,6.08,5.74,,,,
UNIQUE,101,500,1,1,100,100,5,3,286.68,274.91,5.87,5.72,,,,
UNIQUE,101,500,1,1,100,200,5,2,283.5,277.29,5.99,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.2,1,100,0,0,2,16.57,10.64,5.89,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.2,1,100,50,5,2,16.39,10.65,5.7,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.2,1,100,100,5,2,16.65,10.84,5.75,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.2,1,100,200,5,2,16.73,10.87,5.71,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.4,1,100,0,0,2,32.89,26.95,5.87,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.4,1,100,50,5,2,33.8,27.82,5.91,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.4,1,100,100,5,2,33.1,27.23,5.77,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.4,1,100,200,5,2,34.32,28.35,5.77,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.6,1,100,0,0,2,73.24,67.26,5.87,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.6,1,100,50,5,2,75.03,68.93,5.99,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.6,1,100,100,5,2,72.23,66.25,5.84,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.6,1,100,200,5,2,75.54,69.39,5.92,,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.8,1,100,0,0,3,158.84,147.08,5.92,5.7,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.8,1,100,50,5,3,164.14,152.45,5.8,5.74,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.8,1,100,100,5,3,162.87,151.15,5.85,5.72,,,,
INCIDENT_EDGES_THE_SAME,101,500,0.8,1,100,200,5,2,160.14,152.39,7.49,,,,,
INCIDENT_EDGES_THE_SAME,101,500,1,1,100,0,0,3,282.33,270.17,6,5.98,,,,
INCIDENT_EDGES_THE_SAME,101,500,1,1,100,50,5,3,296.49,283.83,5.99,6.49,,,,
INCIDENT_EDGES_THE_SAME,101,500,1,1,100,100,5,3,285.64,273.39,6.29,5.75,,,,
INCIDENT_EDGES_THE_SAME,101,500,1,1,100,200,5,2,281.73,275.33,6.11,,,,,
RANDOM,103,500,0.2,1,100,0,0,2,23.91,16.3,7.57,,,,,
RANDOM,103,500,0.2,1,100,50,5,2,21.02,12.75,8.22,,,,,
RANDOM,103,500,0.2,1,100,100,5,2,19.38,12.11,7.21,,,,,
RANDOM,103,500,0.2,1,100,200,5,2,19.22,11.68,7.36,,,,,
RANDOM,103,500,0.4,1,100,0,0,2,34.33,26.64,7.61,,,,,
RANDOM,103,500,0.4,1,100,50,5,2,32.32,24.99,7.27,,,,,
RANDOM,103,500,0.4,1,100,100,5,2,32.43,25.14,7.22,,,,,
RANDOM,103,500,0.4,1,100,200,5,2,32.57,25.1,7.3,,,,,
RANDOM,103,500,0.6,1,100,0,0,2,55.63,48.26,7.26,,,,,
RANDOM,103,500,0.6,1,100,50,5,2,54.77,47.44,7.23,,,,,
RANDOM,103,500,0.6,1,100,100,5,2,55.08,47.66,7.32,,,,,
RANDOM,103,500,0.6,1,100,200,5,2,56.12,48.69,7.25,,,,,
RANDOM,103,500,0.8,1,100,0,0,3,111.9,96.04,8.08,7.65,,,,
RANDOM,103,500,0.8,1,100,50,5,3,138.39,122.74,7.84,7.67,,,,
RANDOM,103,500,0.8,1,100,100,5,3,140.36,123.98,8.45,7.79,,,,
RANDOM,103,500,0.8,1,100,200,5,2,113.18,105.04,7.92,,,,,
RANDOM,103,500,1,1,100,0,0,3,181.56,165.59,8.14,7.67,,,,
RANDOM,103,500,1,1,100,50,5,3,182.8,168.12,7.45,7.06,,,,
RANDOM,103,500,1,1,100,100,5,3,217.64,200.91,8.32,8.19,,,,
RANDOM,103,500,1,1,100,200,5,2,178.8,171.13,7.43,,,,,
ALL_THE_SAME,103,500,0.2,1,100,0,0,2,20.43,12.77,7.62,,,,,
ALL_THE_SAME,103,500,0.2,1,100,50,5,2,20.96,13.12,7.79,,,,,
ALL_THE_SAME,103,500,0.2,1,100,100,5,2,19.39,12.23,7.1,,,,,
ALL_THE_SAME,103,500,0.2,1,100,200,5,2,19.64,12.36,7.14,,,,,
ALL_THE_SAME,103,500,0.4,1,100,0,0,2,35.66,28.01,7.58,,,,,
ALL_THE_SAME,103,500,0.4,1,100,50,5,2,33.62,26.36,7.19,,,,,
ALL_THE_SAME,103,500,0.4,1,100,100,5,2,34.15,26.72,7.35,,,,,
ALL_THE_SAME,103,500,0.4,1,100,200,5,2,33.46,25.97,7.31,,,,,
ALL_THE_SAME,103,500,0.6,1,100,0,0,2,60.21,52.56,7.55,,,,,
ALL_THE_SAME,103,500,0.6,1,100,50,5,2,63.12,55.39,7.64,,,,,
ALL_THE_SAME,103,500,0.6,1,100,100,5,2,61.72,54.3,7.31,,,,,
ALL_THE_SAME,103,500,0.6,1,100,200,5,2,57.77,50.05,7.53,,,,,
ALL_THE_SAME,103,500,0.8,1,100,0,0,3,110.88,96.34,7.35,7.06,,,,
ALL_THE_SAME,103,500,0.8,1,100,50,5,3,111.84,96.98,7.54,7.19,,,,
ALL_THE_SAME,103,500,0.8,1,100,100,5,3,114.98,99.27,7.91,7.68,,,,
ALL_THE_SAME,103,500,0.8,1,100,200,5,2,107.76,100.02,7.55,,,,,
ALL_THE_SAME,103,500,1,1,100,0,0,3,200.03,184.1,8.04,7.71,,,,
ALL_THE_SAME,103,500,1,1,100,50,5,3,264.35,248.54,8.36,7.26,,,,
ALL_THE_SAME,103,500,1,1,100,100,5,3,208.84,193.73,7.48,7.46,,,,
ALL_THE_SAME,103,500,1,1,100,200,5,2,185.96,178.11,7.63,,,,,
