WeightingMethod;Seed;Vertices;Sparsity;WeightMin;WeightMax;NrOfCliques;SizeOfClique;NrOfCommRounds;TotalTime;RoundTimes1;RoundTimes2;RoundTimes3
RANDOM;106;500;0.2;1;1000;0;0;2;33.34;25.46;7.84;
RANDOM;106;500;0.2;1;1000;50;5;2;20.69;12.89;7.76;
RANDOM;106;500;0.2;1;1000;100;5;2;19.81;12.41;7.34;
RANDOM;106;500;0.2;1;1000;200;5;2;21.19;12.85;8.15;
RANDOM;106;500;0.2;100;110;0;0;2;19.8;12.37;7.39;
RANDOM;106;500;0.2;100;110;50;5;2;20.45;12.56;7.85;
RANDOM;106;500;0.2;100;110;100;5;2;19.35;11.99;7.3;
RANDOM;106;500;0.2;100;110;200;5;2;19.98;12.43;7.4;
RANDOM;106;500;0.4;1;1000;0;0;2;34.42;26.63;7.7;
RANDOM;106;500;0.4;1;1000;50;5;2;34.66;26.86;7.73;
RANDOM;106;500;0.4;1;1000;100;5;2;33.48;25.88;7.51;
RANDOM;106;500;0.4;1;1000;200;5;2;33.01;25.19;7.64;
RANDOM;106;500;0.4;100;110;0;0;2;33.72;26.33;7.32;
RANDOM;106;500;0.4;100;110;50;5;2;33.84;26.41;7.36;
RANDOM;106;500;0.4;100;110;100;5;2;33.44;26.08;7.27;
RANDOM;106;500;0.4;100;110;200;5;2;33.45;25.68;7.6;
RANDOM;106;500;0.6;1;1000;0;0;2;60.88;53.24;7.54;
RANDOM;106;500;0.6;1;1000;50;5;2;59.67;51.84;7.74;
RANDOM;106;500;0.6;1;1000;100;5;2;60.59;52.98;7.5;
RANDOM;106;500;0.6;1;1000;200;5;2;61.77;53.93;7.67;
RANDOM;106;500;0.6;100;110;0;0;2;62.69;54.77;7.82;
RANDOM;106;500;0.6;100;110;50;5;2;59.94;52.23;7.61;
RANDOM;106;500;0.6;100;110;100;5;2;59.5;52.01;7.39;
RANDOM;106;500;0.6;100;110;200;5;2;61.2;53.45;7.57;
RANDOM;106;500;0.8;1;1000;0;0;3;130.39;115.29;7.46;7.51
RANDOM;106;500;0.8;1;1000;50;5;3;125.3;109.91;7.89;7.39
RANDOM;106;500;0.8;1;1000;100;5;3;121.89;107.11;7.42;7.24
RANDOM;106;500;0.8;1;1000;200;5;2;116.68;108.81;7.65;
RANDOM;106;500;0.8;100;110;0;0;3;127.94;112.99;7.57;7.26
RANDOM;106;500;0.8;100;110;50;5;3;128.3;113.08;7.72;7.37
RANDOM;106;500;0.8;100;110;100;5;3;129.55;114.55;7.55;7.33
RANDOM;106;500;0.8;100;110;200;5;2;117.6;110.03;7.37;
RANDOM;106;500;1.0;1;1000;0;0;3;222.68;207.37;7.7;7.45
RANDOM;106;500;1.0;1;1000;50;5;3;221.97;207.06;7.51;7.21
RANDOM;106;500;1.0;1;1000;100;5;3;223.07;208.02;7.54;7.32
RANDOM;106;500;1.0;1;1000;200;5;2;216.32;208.35;7.75;
RANDOM;106;500;1.0;100;110;0;0;3;228.49;213.33;7.68;7.29
RANDOM;106;500;1.0;100;110;50;5;3;229.83;214.71;7.68;7.26
RANDOM;106;500;1.0;100;110;100;5;3;231.29;215.76;7.86;7.51
RANDOM;106;500;1.0;100;110;200;5;2;246.34;238.33;7.77;
RANDOM;107;500;0.2;1;1000;0;0;2;19.23;11.79;7.4;
RANDOM;107;500;0.2;1;1000;50;5;2;20.06;12.39;7.63;
RANDOM;107;500;0.2;1;1000;100;5;2;19.54;12.07;7.41;
RANDOM;107;500;0.2;1;1000;200;5;2;19.31;11.71;7.43;
RANDOM;107;500;0.2;100;110;0;0;2;19.66;12.18;7.44;
RANDOM;107;500;0.2;100;110;50;5;2;19.52;11.99;7.48;
RANDOM;107;500;0.2;100;110;100;5;2;20.29;12.5;7.73;
RANDOM;107;500;0.2;100;110;200;5;2;21.99;13.57;8.24;
RANDOM;107;500;0.4;1;1000;0;0;2;33.64;26.18;7.39;
RANDOM;107;500;0.4;1;1000;50;5;2;36.44;28.55;7.82;
RANDOM;107;500;0.4;1;1000;100;5;2;33.8;26.15;7.56;
RANDOM;107;500;0.4;1;1000;200;5;2;33.46;26.0;7.39;
RANDOM;107;500;0.4;100;110;0;0;2;34.13;26.3;7.76;
RANDOM;107;500;0.4;100;110;50;5;2;33.03;25.56;7.4;
RANDOM;107;500;0.4;100;110;100;5;2;33.99;26.59;7.33;
RANDOM;107;500;0.4;100;110;200;5;2;33.25;25.6;7.43;
RANDOM;107;500;0.6;1;1000;0;0;2;61.3;53.33;7.88;
RANDOM;107;500;0.6;1;1000;50;5;2;61.08;53.25;7.73;
RANDOM;107;500;0.6;1;1000;100;5;2;60.74;52.96;7.67;
RANDOM;107;500;0.6;1;1000;200;5;2;61.63;53.64;7.79;
RANDOM;107;500;0.6;100;110;0;0;2;61.28;53.25;7.91;
RANDOM;107;500;0.6;100;110;50;5;2;64.17;56.22;7.85;
RANDOM;107;500;0.6;100;110;100;5;2;68.0;60.13;7.77;
RANDOM;107;500;0.6;100;110;200;5;2;60.76;53.14;7.42;
RANDOM;107;500;0.8;1;1000;0;0;3;123.39;108.53;7.47;7.26
RANDOM;107;500;0.8;1;1000;50;5;3;126.12;110.99;7.62;7.73
RANDOM;107;500;0.8;1;1000;100;5;3;126.88;111.43;7.89;7.43
RANDOM;107;500;0.8;1;1000;200;5;2;118.1;110.5;7.4;
RANDOM;107;500;0.8;100;110;0;0;3;130.01;115.04;7.58;7.25
RANDOM;107;500;0.8;100;110;50;5;3;131.34;115.72;7.86;7.64
RANDOM;107;500;0.8;100;110;100;5;3;131.54;116.43;7.62;7.36
RANDOM;107;500;0.8;100;110;200;5;2;122.96;115.11;7.67;
RANDOM;107;500;1.0;1;1000;0;0;3;226.75;211.48;7.7;7.39
RANDOM;107;500;1.0;1;1000;50;5;3;225.9;210.68;7.69;7.36
RANDOM;107;500;1.0;1;1000;100;5;3;223.49;208.59;7.48;7.23
RANDOM;107;500;1.0;1;1000;200;5;2;220.38;212.57;7.59;
RANDOM;107;500;1.0;100;110;0;0;3;230.93;214.75;7.95;8.06
RANDOM;107;500;1.0;100;110;50;5;3;231.85;216.71;7.61;7.35
RANDOM;107;500;1.0;100;110;100;5;3;231.18;215.85;7.76;7.4
RANDOM;107;500;1.0;100;110;200;5;2;227.83;219.99;7.61;
RANDOM;108;500;0.2;1;1000;0;0;2;19.38;11.9;7.45;
RANDOM;108;500;0.2;1;1000;50;5;2;19.81;12.07;7.7;
RANDOM;108;500;0.2;1;1000;100;5;2;19.89;12.17;7.66;
RANDOM;108;500;0.2;1;1000;200;5;2;19.59;11.99;7.45;
RANDOM;108;500;0.2;100;110;0;0;2;20.83;12.74;8.05;
RANDOM;108;500;0.2;100;110;50;5;2;20.31;12.54;7.73;
RANDOM;108;500;0.2;100;110;100;5;2;19.51;12.23;7.22;
RANDOM;108;500;0.2;100;110;200;5;2;20.24;12.43;7.65;
RANDOM;108;500;0.4;1;1000;0;0;2;33.91;26.41;7.43;
RANDOM;108;500;0.4;1;1000;50;5;2;33.87;26.26;7.53;
RANDOM;108;500;0.4;1;1000;100;5;2;33.42;25.95;7.39;
RANDOM;108;500;0.4;1;1000;200;5;2;34.32;26.74;7.41;
RANDOM;108;500;0.4;100;110;0;0;2;33.06;25.5;7.49;
RANDOM;108;500;0.4;100;110;50;5;2;33.36;26.02;7.28;
RANDOM;108;500;0.4;100;110;100;5;2;33.94;26.45;7.42;
RANDOM;108;500;0.4;100;110;200;5;2;33.9;26.39;7.32;
RANDOM;108;500;0.6;1;1000;0;0;2;61.93;54.09;7.74;
RANDOM;108;500;0.6;1;1000;50;5;2;61.75;53.96;7.69;
RANDOM;108;500;0.6;1;1000;100;5;2;61.41;53.58;7.72;
RANDOM;108;500;0.6;1;1000;200;5;2;62.18;54.12;7.88;
RANDOM;108;500;0.6;100;110;0;0;2;61.5;53.51;7.89;
RANDOM;108;500;0.6;100;110;50;5;2;66.8;59.05;7.62;
RANDOM;108;500;0.6;100;110;100;5;2;60.86;53.21;7.55;
RANDOM;108;500;0.6;100;110;200;5;2;63.43;55.69;7.56;
RANDOM;108;500;0.8;1;1000;0;0;3;124.23;109.3;7.47;7.33
RANDOM;108;500;0.8;1;1000;50;5;3;125.36;109.49;8.16;7.57
RANDOM;108;500;0.8;1;1000;100;5;3;121.44;106.36;7.6;7.36
RANDOM;108;500;0.8;1;1000;200;5;2;118.38;110.56;7.62;
RANDOM;108;500;0.8;100;110;0;0;3;128.23;113.25;7.55;7.28
RANDOM;108;500;0.8;100;110;50;5;3;132.34;117.48;7.48;7.24
RANDOM;108;500;0.8;100;110;100;5;3;129.64;114.44;7.75;7.32
RANDOM;108;500;0.8;100;110;200;5;2;123.85;116.0;7.64;
RANDOM;108;500;1.0;1;1000;0;0;3;222.83;207.64;7.64;7.34
RANDOM;108;500;1.0;1;1000;50;5;3;223.94;208.5;7.81;7.45
RANDOM;108;500;1.0;1;1000;100;5;3;225.5;209.93;7.97;7.42
RANDOM;108;500;1.0;1;1000;200;5;2;217.96;209.68;8.06;
RANDOM;108;500;1.0;100;110;0;0;3;231.64;215.27;8.07;8.14
RANDOM;108;500;1.0;100;110;50;5;3;232.27;216.82;7.84;7.43
RANDOM;108;500;1.0;100;110;100;5;3;230.09;214.98;7.66;7.27
RANDOM;108;500;1.0;100;110;200;5;2;224.21;216.15;7.83;
RANDOM;100;500;0.2;1;100;0;0;2;23.05;16.24;6.74;
RANDOM;100;500;0.2;1;100;50;5;2;22.89;14.14;8.7;
RANDOM;100;500;0.2;1;100;100;5;2;19.42;13.01;6.34;
RANDOM;100;500;0.2;1;100;200;5;2;17.01;10.97;5.92;
RANDOM;100;500;0.4;1;100;0;0;2;34.23;27.66;6.47;
RANDOM;100;500;0.4;1;100;50;5;2;34.34;28.3;5.96;
RANDOM;100;500;0.4;1;100;100;5;2;34.57;28.37;6.09;
RANDOM;100;500;0.4;1;100;200;5;2;32.16;26.45;5.56;
RANDOM;100;500;0.6;1;100;0;0;2;78.68;71.93;6.63;
RANDOM;100;500;0.6;1;100;50;5;2;76.72;70.56;6.02;
RANDOM;100;500;0.6;1;100;100;5;2;89.41;81.97;7.27;
RANDOM;100;500;0.6;1;100;200;5;2;110.05;103.67;6.18;
RANDOM;100;500;0.8;1;100;0;0;3;171.79;159.87;5.94;5.83
RANDOM;100;500;0.8;1;100;50;5;3;154.32;142.45;6.03;5.65
RANDOM;100;500;0.8;1;100;100;5;3;159.69;147.93;5.89;5.72
RANDOM;100;500;0.8;1;100;200;5;2;153.09;146.99;5.9;
RANDOM;100;500;1;1;100;0;0;3;268.74;256.99;5.9;5.65
RANDOM;100;500;1;1;100;50;5;3;491.61;472.5;9.13;9.6
RANDOM;100;500;1;1;100;100;5;3;527.29;509.63;9.34;7.98
RANDOM;100;500;1;1;100;200;5;2;564.18;555.59;8.17;
RANDOM;103;500;0.2;1;100;0;0;2;23.91;16.3;7.57;
RANDOM;103;500;0.2;1;100;50;5;2;21.02;12.75;8.22;
RANDOM;103;500;0.2;1;100;100;5;2;19.38;12.11;7.21;
RANDOM;103;500;0.2;1;100;200;5;2;19.22;11.68;7.36;
RANDOM;103;500;0.4;1;100;0;0;2;34.33;26.64;7.61;
RANDOM;103;500;0.4;1;100;50;5;2;32.32;24.99;7.27;
RANDOM;103;500;0.4;1;100;100;5;2;32.43;25.14;7.22;
RANDOM;103;500;0.4;1;100;200;5;2;32.57;25.1;7.3;
RANDOM;103;500;0.6;1;100;0;0;2;55.63;48.26;7.26;
RANDOM;103;500;0.6;1;100;50;5;2;54.77;47.44;7.23;
RANDOM;103;500;0.6;1;100;100;5;2;55.08;47.66;7.32;
RANDOM;103;500;0.6;1;100;200;5;2;56.12;48.69;7.25;
RANDOM;103;500;0.8;1;100;0;0;3;111.9;96.04;8.08;7.65
RANDOM;103;500;0.8;1;100;50;5;3;138.39;122.74;7.84;7.67
RANDOM;103;500;0.8;1;100;100;5;3;140.36;123.98;8.45;7.79
RANDOM;103;500;0.8;1;100;200;5;2;113.18;105.04;7.92;
RANDOM;103;500;1;1;100;0;0;3;181.56;165.59;8.14;7.67
RANDOM;103;500;1;1;100;50;5;3;182.8;168.12;7.45;7.06
RANDOM;103;500;1;1;100;100;5;3;217.64;200.91;8.32;8.19
RANDOM;103;500;1;1;100;200;5;2;178.8;171.13;7.43;
RANDOM;101;500;0.2;1;100;0;0;2;16.33;10.58;5.7;
RANDOM;101;500;0.2;1;100;50;5;2;16.41;10.7;5.67;
RANDOM;101;500;0.2;1;100;100;5;2;16.62;10.79;5.77;
RANDOM;101;500;0.2;1;100;200;5;2;16.78;10.77;5.8;
RANDOM;101;500;0.4;1;100;0;0;2;32.61;26.71;5.81;
RANDOM;101;500;0.4;1;100;50;5;2;33.3;27.44;5.79;
RANDOM;101;500;0.4;1;100;100;5;2;33.37;27.45;5.84;
RANDOM;101;500;0.4;1;100;200;5;2;34.15;28.08;5.9;
RANDOM;101;500;0.6;1;100;0;0;2;73.42;67.38;5.91;
RANDOM;101;500;0.6;1;100;50;5;2;74.53;68.49;5.93;
RANDOM;101;500;0.6;1;100;100;5;2;72.9;66.73;6.02;
RANDOM;101;500;0.6;1;100;200;5;2;75.4;69.37;5.84;
RANDOM;101;500;0.8;1;100;0;0;3;159.57;147.77;5.88;5.76
RANDOM;101;500;0.8;1;100;50;5;3;162;150.14;5.96;5.74
RANDOM;101;500;0.8;1;100;100;5;3;159.94;148.21;5.87;5.71
RANDOM;101;500;0.8;1;100;200;5;2;157.58;151.45;5.91;
RANDOM;101;500;1;1;100;0;0;3;282.12;270.28;5.95;5.71
RANDOM;101;500;1;1;100;50;5;3;285.62;273.63;5.98;5.82
RANDOM;101;500;1;1;100;100;5;3;283;270.99;6.04;5.79
RANDOM;101;500;1;1;100;200;5;2;281.25;275.09;5.95;
